kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
12,1272,1272,1272,Sumatera Utara,Tanjung Balai,Tanjung Balai,Sumut-03,Sumut-03,No Change,Kota Tanjung Balai,131339,12348,1168,27,8781,27,3,0,752,154445
12,1273,1273,1273,Sumatera Utara,Pematang Siantar,Pematang Siantar,Sumut-03,Sumut-03,No Change,Kota Pematang Siantar,103029,109236,11065,265,10226,27,163,80,607,234698
12,1274,1274,1274,Sumatera Utara,Tebing Tinggi,Tebing Tinggi,Sumut-01,Sumut-01,No Change,Kota Tebing Tinggi,113344,18689,1327,217,10313,70,5,4,1279,145248
12,1275,1275,1275,Sumatera Utara,Medan,Medan,Sumut-01,Sumut-01,No Change,Kota Medan,1422237,425253,37552,9296,184807,370,339,491,17265,2097610
12,1276,1276,1276,Sumatera Utara,Binjai,Binjai,Sumut-03,Sumut-03,No Change,Kota Binjai,209426,19396,2004,630,13391,182,16,0,1109,246154
12,1277,1277,1277,Sumatera Utara,Padang Sidempuan,Padang Sidempuan,Sumut-02,Sumut-02,No Change,Kota Padangsidimpuan,172290,17123,878,0,670,5,0,61,504,191531
12,1278,1278,1278,Sumatera Utara,Gunung Sitoli,Gunung Sitoli,Sumut-02,Sumut-02,No Change,Kota Gunungsitoli,17151,99483,9112,0,245,2,36,55,118,126202
13,1301,1301,1301,Sumatera Barat,Kepulauan Mentawai,Kepulauan Mentawai,Sumbar-01,Sumbar-01,No Change,Kepulauan Mentawai,14897,37321,23568,3,0,6,360,13,5,76173
13,1302,1302,1302,Sumatera Barat,Pesisir Selatan,Pesisir Selatan,Sumbar-01,Sumbar-01,No Change,Pesisir Selatan,428250,509,126,8,11,0,2,254,86,429246
13,1303,1303,1303,Sumatera Barat,Solok,Solok,Sumbar-01,Sumbar-01,No Change,Solok,347526,463,29,3,7,2,5,253,278,348566
13,1304,1304,1304,Sumatera Barat,Sawahlunto Sijunjung,Sawahlunto Sijunjung,Sumbar-01,Sumbar-01,No Change,Sijunjung,200553,774,200,8,13,2,10,27,236,201823
13,1305,1305,1305,Sumatera Barat,Tanah Datar,Tanah Datar,Sumbar-01,Sumbar-01,No Change,Tanah Datar,336353,378,127,3,15,3,1,10,1604,338494
13,1306,1306,1306,Sumatera Barat,Padang Pariaman,Padang Pariaman,Sumbar-02,Sumbar-02,No Change,Padang Pariaman,389090,1150,217,10,2,1,0,380,206,391056
13,1307,1307,1307,Sumatera Barat,Agam,Agam,Sumbar-02,Sumbar-02,No Change,Agam,450981,2907,301,19,11,1,6,98,529,454853
13,1308,1308,1308,Sumatera Barat,Limapuluh Kota,Limapuluh Kota,Sumbar-02,Sumbar-02,No Change,Lima Puluh Kota,347539,449,219,2,14,3,1,224,104,348555
13,1309,1309,1309,Sumatera Barat,Pasaman,Pasaman,Sumbar-02,Sumbar-02,No Change,Pasaman,252055,1041,65,1,2,1,0,88,46,253299
13,1310,1310,1310,Sumatera Barat,Solok Selatan,Solok Selatan,Sumbar-01,Sumbar-01,No Change,Solok Selatan,143443,558,83,4,15,1,1,23,153,144281
13,1311,1311,1311,Sumatera Barat,Dharmas Raya,Dharmas Raya,Sumbar-01,Sumbar-01,No Change,Dharmas Raya,188691,1287,253,4,9,3,0,24,1151,191422
13,1312,1312,1312,Sumatera Barat,Pasaman Barat,Pasaman Barat,Sumbar-02,Sumbar-02,No Change,Pasaman Barat,356664,5906,2327,1,42,3,25,62,99,365129
13,1371,1371,1371,Sumatera Barat,Padang,Padang,Sumbar-01,Sumbar-01,No Change,Kota Padang,803706,13094,10689,145,2876,36,73,464,2479,833562
13,1372,1372,1372,Sumatera Barat,Solok,Solok,Sumbar-01,Sumbar-01,No Change,Kota Solok,58621,352,173,1,2,1,0,1,245,59396
