kode_prov;kode_bps_2014;kode_bps_2019;name_prov;name_kab_2014;name_kab_2019;dapil_2019;dapil 2014;change_14_19
16;1610;1610;Sumatera Selatan;Ogan Ilir;Ogan Ilir;Sumsel-02;Sumsel-02;No Change
16;1611;1611;Sumatera Selatan;Empat Lawang;Empat Lawang;Sumsel-02;Sumsel-02;No Change
16;1612;1612;Sumatera Selatan;Penukal Abab Lematang Ilir;Penukal Abab Lematang Ilir;Sumsel-02;Sumsel-02;No Change
16;1613;1613;Sumatera Selatan;Musi Rawas Utara;Musi Rawas Utara;Sumsel-01;Sumsel-01;No Change
16;1671;1671;Sumatera Selatan;Palembang;Palembang;Sumsel-01;Sumsel-01;No Change
16;1672;1672;Sumatera Selatan;Prabumulih;Prabumulih;Sumsel-02;Sumsel-02;No Change
16;1673;1673;Sumatera Selatan;Pagar Alam;Pagar Alam;Sumsel-02;Sumsel-02;No Change
16;1674;1674;Sumatera Selatan;Lubuk Linggau;Lubuk Linggau;Sumsel-01;Sumsel-01;No Change
17;1701;1701;Bengkulu;Bengkulu Selatan;Bengkulu Selatan;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1702;1702;Bengkulu;Rejang Lebong;Rejang Lebong;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1703;1703;Bengkulu;Bengkulu Utara;Bengkulu Utara;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1704;1704;Bengkulu;Kaur;Kaur;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1705;1705;Bengkulu;Seluma;Seluma;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1706;1706;Bengkulu;Mukomuko;Mukomuko;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1707;1707;Bengkulu;Lebong;Lebong;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1708;1708;Bengkulu;Kepahiang;Kepahiang;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1709;1709;Bengkulu;Bengkulu Tengah;Bengkulu Tengah;Bengkulu-at-large;Bengkulu-at-large;No Change
17;1771;1771;Bengkulu;Bengkulu;Bengkulu;Bengkulu-at-large;Bengkulu-at-large;No Change
18;1801;1801;Lampung;Lampung Barat;Lampung Barat;Lampung-01;Lampung-01;No Change
18;1802;1802;Lampung;Tanggamus;Tanggamus;Lampung-01;Lampung-01;No Change
18;1803;1803;Lampung;Lampung Selatan;Lampung Selatan;Lampung-01;Lampung-01;No Change
18;1804;1804;Lampung;Lampung Timur;Lampung Timur;Lampung-02;Lampung-02;No Change
18;1805;1805;Lampung;Lampung Tengah;Lampung Tengah;Lampung-02;Lampung-02;No Change
18;1806;1806;Lampung;Lampung Utara;Lampung Utara;Lampung-02;Lampung-02;No Change
