kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan
13,1308,1308,1308,Sumatera Barat,Limapuluh Kota,Limapuluh Kota,Sumbar-02,Sumbar-02,No Change,Lima Puluh Kota,99.70851085194587,0.1288175467286368,0.06283083014158454,0.0005737975355395848,0.004016582748777094,0.0008606963033093774,0.0002868987677697924,0.0642653239804335,0.029837471848058413
13,1309,1309,1309,Sumatera Barat,Pasaman,Pasaman,Sumbar-02,Sumbar-02,No Change,Pasaman,99.5088808088465,0.4109767507964896,0.025661372528118943,0.00039479034658644515,0.0007895806931728903,0.00039479034658644515,0.0,0.03474155049960718,0.01816035594297648
13,1310,1310,1310,Sumatera Barat,Solok Selatan,Solok Selatan,Sumbar-01,Sumbar-01,No Change,Solok Selatan,99.41918894379718,0.3867453095002114,0.05752663205827518,0.002772367810037358,0.010396379287640093,0.0006930919525093395,0.0006930919525093395,0.015941114907714802,0.10604306873392892
13,1311,1311,1311,Sumatera Barat,Dharmas Raya,Dharmas Raya,Sumbar-01,Sumbar-01,No Change,Dharmas Raya,98.57330923300353,0.6723365130444777,0.1321687162395127,0.0020896239721662087,0.0047016539373739685,0.0015672179791246569,0.0,0.012537743832997252,0.6012892979908265
13,1312,1312,1312,Sumatera Barat,Pasaman Barat,Pasaman Barat,Sumbar-02,Sumbar-02,No Change,Pasaman Barat,97.68164128294384,1.6175105236779332,0.6373090058582036,0.0002738758082759792,0.011502783947591123,0.0008216274248279375,0.006846895206899479,0.01698030011311071,0.027113705019321938
13,1371,1371,1371,Sumatera Barat,Padang,Padang,Sumbar-01,Sumbar-01,No Change,Kota Padang,96.41826282867979,1.5708489590456378,1.2823281291613582,0.01739522674977986,0.345025325050806,0.004318814917186724,0.008757596915406413,0.05566472559929556,0.2973983938807191
13,1372,1372,1372,Sumatera Barat,Solok,Solok,Sumbar-01,Sumbar-01,No Change,Kota Solok,98.69519832985388,0.5926325005050845,0.29126540507778304,0.0016836150582530806,0.003367230116506161,0.0016836150582530806,0.0,0.0016836150582530806,0.4124856892720049
13,1373,1373,1373,Sumatera Barat,Sawahlunto,Sawahlunto,Sumbar-01,Sumbar-01,No Change,Kota Sawah Lunto,99.37044982942356,0.3974255266767489,0.17409348292477053,0.0,0.003517040059086273,0.003517040059086273,0.003517040059086273,0.0,0.047480040797664685
13,1374,1374,1374,Sumatera Barat,Padang Panjang,Padang Panjang,Sumbar-01,Sumbar-01,No Change,Kota Padang Panjang,95.89006126616745,0.5701157249829816,0.6488257317903335,0.008509189925119126,0.0957283866575902,0.0,0.008509189925119126,0.0,2.7782505105513957
13,1375,1375,1375,Sumatera Barat,Bukittinggi,Bukittinggi,Sumbar-02,Sumbar-02,No Change,Kota Bukittinggi,97.35428345551243,1.424823918355613,0.9352091418714964,0.008983757366681042,0.17698002012361652,0.0026951272100043124,0.0026951272100043124,0.0,0.09432945235015093
13,1376,1376,1376,Sumatera Barat,Payakumbuh,Payakumbuh,Sumbar-02,Sumbar-02,No Change,Kota Payakumbuh,98.55938369355873,0.6111705542478065,0.4331264712176332,0.005135887010485769,0.1318210999358014,0.0017119623368285898,0.0,0.006847849347314359,0.2508024823453884
13,1377,1377,1377,Sumatera Barat,Pariaman,Pariaman,Sumbar-02,Sumbar-02,No Change,Kota Pariaman,99.264957048695,0.3415862252191845,0.1265134167478461,0.002530268334956922,0.002530268334956922,0.0,0.0,0.001265134167478461,0.26061763850056296
14,1401,1401,1401,Riau,Kuantan Singingi,Kuantan Singingi,Riau-02,Riau-02,No Change,Kuantan Singingi,96.01596625997892,3.2911583069739416,0.2786564241602651,0.007873584466444837,0.12940064905722384,0.003765627353517096,0.0020539785564638703,0.0,0.2711251694532309
14,1402,1402,1402,Riau,Indragiri Hulu,Indragiri Hulu,Riau-02,Riau-02,No Change,Indragiri Hulu,92.55782215594236,5.434979996808294,1.0579404691807772,0.0038520589254956773,0.2911055959410305,0.015133088635875876,0.3524633916828545,0.0002751470661068341,0.2864280958172143
14,1403,1403,1403,Riau,Indragiri Hilir,Indragiri Hilir,Riau-02,Riau-02,No Change,Indragiri Hilir,98.19395901048536,0.9246289169042838,0.09111803185051204,0.0113330885386209,0.6488570957978419,0.03263929499122819,0.0012088627774528961,0.003475480485177076,0.09278021816950976
14,1404,1404,1404,Riau,Pelalawan,Pelalawan,Riau-02,Riau-02,No Change,Pelalawan,83.97635747393393,13.955915435561195,0.9763806658737232,0.028492954620000063,0.8677098622067461,0.004307074535581407,0.0,0.0,0.19083653326883765
14,1405,1405,1405,Riau,Siak,Siak,Riau-01,Riau-01,No Change,Siak,82.76751729300156,14.399774912274182,1.3298225310690075,0.05998800239952009,0.9558265338082824,0.016722319252963566,0.07113621523482913,0.0,0.3992121929596382
14,1406,1406,1406,Riau,Kampar,Kampar,Riau-02,Riau-02,No Change,Kampar,90.15713364060656,8.952723320410811,0.7407687255523072,0.007846510627662728,0.06538758856385607,0.0034873380567389907,0.0008718345141847477,0.012641600455678841,0.05913944121219871
14,1407,1407,1407,Riau,Rokan Hulu,Rokan Hulu,Riau-01,Riau-01,No Change,Rokan Hulu,84.26469380405734,14.605880259369938,0.9898008394353502,0.003369534772545873,0.04864765827863105,0.0014741714629888196,0.004843706235534692,0.0,0.08129002638766919
14,1408,1408,1408,Riau,Bengkalis,Bengkalis,Riau-01,Riau-01,No Change,Bengkalis,82.58865504398639,11.296595068387596,0.9278880113016116,0.017056764913632567,4.873418737558595,0.0724410839273101,0.008227380723046298,0.0,0.21571790920182368
14,1409,1409,1409,Riau,Rokan Hilir,Rokan Hilir,Riau-01,Riau-01,No Change,Rokan Hilir,86.85667081212402,9.344632114761684,0.6064538986580287,0.015726226284127717,2.728590640906988,0.1729884891254049,0.001988373438223045,0.0010845673299398426,0.2718648773715872
